Date	Infections	Recovered	Deaths	World	China
01/22/2020	555	28	17	7.0	548.0
01/23/2020	653	30	18	10.0	643.0
01/24/2020	941	36	26	21.0	920.0
01/25/2020	1434	39	42	28.0	1406.0
01/26/2020	2118	52	56	43.0	2075.0
01/27/2020	2927	61	82	50.0	2877.0
01/28/2020	5578	107	131	69.0	5509.0
01/29/2020	6166	126	133	79.0	6087.0
01/30/2020	8234	143	171	93.0	8141.0
01/31/2020	9927	222	213	125.0	9802.0
02/01/2020	12038	284	259	147.0	11891.0
02/02/2020	16787	472	362	157.0	16630.0
02/03/2020	19881	623	426	165.0	19716.0
02/04/2020	23892	852	492	185.0	23707.0
02/05/2020	27635	1124	564	195.0	27440.0
02/06/2020	30817	1487	634	230.0	30587.0
02/07/2020	34391	2011	719	281.0	34110.0
02/08/2020	37120	2616	806	306.0	36814.0
02/09/2020	40150	3244	906	321.0	39829.0
02/10/2020	42762	3946	1013	408.0	42354.0
02/11/2020	44802	4683	1113	416.0	44386.0
02/12/2020	45221	5150	1118	462.0	44759.0
02/13/2020	60368	6295	1371	473.0	59895.0
02/14/2020	66885	8058	1523	527.0	66358.0
02/15/2020	69030	9395	1666	617.0	68413.0
02/16/2020	71224	10865	1770	711.0	70513.0
02/17/2020	73258	12583	1868	824.0	72434.0
02/18/2020	75136	14352	2007	925.0	74211.0
02/19/2020	75639	16121	2122	1020.0	74619.0
02/20/2020	76197	18177	2247	1120.0	75077.0
02/21/2020	76823	18890	2251	1273.0	75550.0
02/22/2020	78579	22886	2458	1578.0	77001.0
02/23/2020	78965	23394	2469	1943.0	77022.0
02/24/2020	79568	25227	2629	2327.0	77241.0
02/25/2020	80413	27905	2708	2659.0	77754.0
02/26/2020	81395	30384	2770	3229.0	78166.0
02/27/2020	82754	33277	2814	4154.0	78600.0
02/28/2020	84120	36711	2872	5192.0	78928.0
02/29/2020	86011	39782	2941	6655.0	79356.0
03/01/2020	88369	42716	2996	8437.0	79932.0
03/02/2020	90306	45602	3085	10170.0	80136.0
03/03/2020	92840	48228	3160	12579.0	80261.0
03/04/2020	95120	51170	3254	14734.0	80386.0
03/05/2020	97882	53796	3348	17345.0	80537.0
03/06/2020	101784	55865	3460	21094.0	80690.0
03/07/2020	105821	58358	3558	25051.0	80770.0
03/08/2020	109795	60694	3802	28972.0	80823.0
03/09/2020	113561	62494	3988	32701.0	80860.0
03/10/2020	118592	64404	4262	37705.0	80887.0
03/11/2020	125865	67003	4615	44944.0	80921.0
03/12/2020	128343	68324	4720	47411.0	80932.0
03/13/2020	145193	70251	5404	64248.0	80945.0
03/14/2020	156097	72624	5819	75120.0	80977.0
03/15/2020	167449	76034	6440	86446.0	81003.0
03/16/2020	181546	78088	7126	100513.0	81033.0
